customer_id,tenure_months,plan_type,monthly_charges,total_charges,contract_type,payment_method,support_tickets,tech_issues,usage_hours_month,late_payments,satisfaction_score,autopay,region,churn
CUST-00001,2,Premium,80.5,158.81,One year,Electronic check,0,2,47,0,3,No,East,1
CUST-00002,14,Standard,57.78,769.61,One year,Bank transfer,1,0,16,2,3.2,Yes,West,0
CUST-00003,1,Basic,28.87,28.55,One year,Electronic check,1,0,22,0,2.5,No,East,0
CUST-00004,1,Standard,51.24,48.34,One year,Credit card,1,2,33,1,2.9,No,West,0
CUST-00005,6,Basic,40.65,234.67,Two year,Mailed check,3,2,2,1,2.3,No,West,1
CUST-00006,26,Standard,70.53,1747.41,One year,Mailed check,3,1,23,1,2.6,No,South,1
CUST-00007,1,Basic,40.55,40.14,Two year,Electronic check,2,1,9,1,2.7,No,North,0
CUST-00008,1,Basic,33.42,32.74,Month-to-month,Bank transfer,2,2,17,2,2.5,Yes,West,1
CUST-00009,43,Basic,37.45,1529,Two year,Electronic check,1,1,21,2,2.5,Yes,East,0
CUST-00010,20,Basic,27.68,558.47,Month-to-month,Bank transfer,7,0,31,1,1.6,No,North,1
CUST-00011,24,Basic,28.49,666.84,One year,Credit card,1,2,18,0,3.4,No,West,0
CUST-00012,1,Basic,37.05,36.1,Month-to-month,Bank transfer,6,3,41,1,1.6,No,North,1
CUST-00013,22,Standard,52.36,1086.42,Month-to-month,Mailed check,1,1,28,1,2.9,Yes,West,1
CUST-00014,1,Basic,32.17,32.92,One year,Electronic check,6,3,45,0,2.8,No,South,1
CUST-00015,15,Standard,58.94,909.53,Month-to-month,Mailed check,0,1,12,3,3.8,No,East,0
CUST-00016,4,Standard,61.27,252.17,Two year,Credit card,1,2,34,1,1.9,No,North,1
CUST-00017,1,Premium,83.5,83.96,One year,Credit card,1,0,38,2,2.1,No,West,0
CUST-00018,20,Premium,77.95,1597.84,One year,Credit card,0,0,24,2,2,No,South,1
CUST-00019,10,Premium,92.33,886.38,Month-to-month,Electronic check,2,3,34,0,2.9,No,South,1
CUST-00020,33,Basic,32.41,1055.25,Month-to-month,Electronic check,3,0,25,1,2.6,Yes,South,0
CUST-00021,8,Basic,31.73,247.2,Month-to-month,Credit card,2,1,25,2,1.8,Yes,North,1
CUST-00022,28,Standard,63.12,1758.98,One year,Credit card,0,1,31,2,3.7,No,West,1
CUST-00023,1,Standard,54.37,51.68,Two year,Credit card,1,0,36,0,4.7,Yes,East,0
CUST-00024,17,Standard,48.08,783.44,One year,Mailed check,0,0,36,1,4,Yes,North,0
CUST-00025,8,Basic,27.94,228.57,Two year,Credit card,3,0,30,2,2,No,West,0
CUST-00026,18,Standard,55.39,969.92,Month-to-month,Bank transfer,3,3,31,3,2.2,No,East,1
CUST-00027,43,Basic,44.27,1806.93,Two year,Mailed check,2,1,18,1,3.5,Yes,West,0
CUST-00028,38,Premium,99.57,3656.63,Two year,Credit card,0,1,54,1,3.2,No,South,0
CUST-00029,27,Premium,86.97,2290.87,One year,Electronic check,2,2,48,0,4,No,South,1
CUST-00030,12,Basic,35.91,430.05,Two year,Credit card,1,1,20,1,3.8,No,North,1
CUST-00031,22,Premium,88.18,1892.28,Month-to-month,Bank transfer,0,2,37,2,2.9,Yes,North,0
CUST-00032,2,Standard,57.11,112,One year,Mailed check,4,2,33,1,3.6,Yes,North,1
CUST-00033,22,Basic,41.24,896.87,Month-to-month,Mailed check,0,0,27,3,3.7,Yes,West,1
CUST-00034,20,Premium,100.86,1991.28,Month-to-month,Mailed check,2,1,36,0,2.9,Yes,West,1
CUST-00035,15,Premium,84.08,1275.41,Month-to-month,Electronic check,1,1,29,0,3.5,No,South,1
CUST-00036,2,Basic,27.44,52.27,Month-to-month,Credit card,0,3,27,2,3.2,Yes,South,1
CUST-00037,12,Standard,71.42,812.06,One year,Credit card,3,2,34,2,2.1,No,South,1
CUST-00038,16,Premium,86.62,1316.96,One year,Electronic check,0,1,40,0,3.7,Yes,East,0
CUST-00039,27,Premium,94.32,2526.8,One year,Credit card,4,1,46,1,2.1,Yes,South,1
CUST-00040,21,Premium,94.22,1920.57,One year,Credit card,2,1,21,1,2.5,No,East,0
CUST-00041,40,Standard,64.06,2443.05,One year,Mailed check,0,2,40,1,2.7,No,East,1
CUST-00042,12,Premium,79.38,943.86,One year,Bank transfer,0,3,23,1,3.4,Yes,North,0
CUST-00043,31,Standard,60.66,1933.09,Two year,Mailed check,0,1,35,1,3.2,Yes,East,0
CUST-00044,19,Premium,81.24,1527.9,One year,Mailed check,3,0,34,2,2.3,Yes,South,1
CUST-00045,39,Standard,61.9,2384.25,One year,Bank transfer,0,2,21,0,3.8,Yes,South,0
CUST-00046,30,Premium,92.61,2647.68,Two year,Electronic check,3,0,39,1,2.6,Yes,South,0
CUST-00047,35,Premium,90.48,3204.78,Month-to-month,Credit card,3,0,44,1,1.7,Yes,West,1
CUST-00048,11,Basic,33.67,374.52,Two year,Credit card,0,2,16,1,4.1,Yes,North,0
CUST-00049,15,Premium,89.98,1321.98,Two year,Credit card,0,1,36,2,3.6,No,West,1
CUST-00050,22,Standard,53.37,1177.95,One year,Electronic check,3,0,44,0,3.6,Yes,West,0
CUST-00051,3,Premium,86.26,259.25,One year,Electronic check,2,1,44,0,3.4,Yes,West,0
CUST-00052,6,Basic,40.72,247.77,Month-to-month,Bank transfer,3,1,17,2,2.1,No,East,1
CUST-00053,38,Basic,34.61,1342.18,Two year,Credit card,3,1,40,0,3.5,Yes,North,0
CUST-00054,32,Basic,40.52,1248.65,Month-to-month,Electronic check,1,1,33,3,2.6,No,South,0
CUST-00055,17,Premium,97.21,1617.41,Month-to-month,Bank transfer,0,1,35,2,2.8,No,West,1
CUST-00056,41,Premium,91.66,3633.74,Two year,Credit card,0,2,31,1,3.3,No,East,0
CUST-00057,2,Premium,80.64,160.71,One year,Electronic check,2,1,58,0,4,No,West,0
CUST-00058,15,Standard,48.39,746.99,Two year,Bank transfer,0,0,27,1,3.5,Yes,North,0
CUST-00059,29,Premium,89.95,2658.63,Month-to-month,Credit card,0,1,52,2,3.2,Yes,South,1
CUST-00060,18,Standard,53.72,935.56,One year,Mailed check,2,2,34,1,1.9,Yes,South,1
CUST-00061,26,Premium,88.35,2368.5,One year,Bank transfer,0,0,49,2,3.9,No,South,0
CUST-00062,15,Premium,95.62,1359.27,Two year,Bank transfer,0,1,43,1,2.4,Yes,North,0
CUST-00063,23,Premium,76.82,1830.06,One year,Bank transfer,4,1,34,2,2.5,Yes,West,0
CUST-00064,21,Standard,55.96,1164.73,One year,Electronic check,0,2,23,0,2.8,No,West,1
CUST-00065,12,Basic,31,358.51,Two year,Credit card,1,2,22,0,2.1,Yes,West,0
CUST-00066,26,Standard,49.91,1335.86,Month-to-month,Bank transfer,1,2,41,1,2.9,No,South,1
CUST-00067,23,Standard,58.26,1300.47,Two year,Credit card,3,0,30,1,1.9,Yes,South,1
CUST-00068,22,Premium,78.34,1630.14,Two year,Mailed check,3,0,45,1,3.4,No,South,0
CUST-00069,15,Basic,29.03,437.41,Two year,Bank transfer,0,3,32,0,1.7,Yes,North,0
CUST-00070,5,Standard,54.01,275.81,One year,Mailed check,0,0,37,2,3.7,Yes,North,1
CUST-00071,30,Premium,82.37,2344.52,Month-to-month,Bank transfer,1,2,24,2,3.4,No,East,1
CUST-00072,10,Basic,31.81,306.49,Month-to-month,Mailed check,3,0,13,3,3.2,No,West,1
CUST-00073,15,Premium,72.23,1124.99,One year,Bank transfer,1,1,37,1,2.4,Yes,North,1
CUST-00074,1,Standard,61.76,60.09,Month-to-month,Electronic check,1,1,41,1,2.7,Yes,South,1
CUST-00075,13,Standard,58.27,777.1,Month-to-month,Electronic check,2,2,34,3,3.2,No,West,0
CUST-00076,36,Standard,53.6,1884.76,Two year,Credit card,2,1,28,1,2,Yes,East,0
CUST-00077,19,Standard,55.7,1029.39,Two year,Mailed check,3,0,38,0,3.6,No,South,0
CUST-00078,19,Basic,36.87,674.15,One year,Bank transfer,2,3,15,1,1.7,Yes,East,1
CUST-00079,28,Basic,35.22,971.13,Two year,Electronic check,2,0,6,2,3.8,No,East,0
CUST-00080,1,Basic,38.68,37.1,Month-to-month,Credit card,2,4,3,1,2.8,No,East,0
CUST-00081,21,Premium,90.63,1807.1,Two year,Bank transfer,2,2,50,2,3.1,No,West,1
CUST-00082,28,Premium,90.31,2451.21,Month-to-month,Bank transfer,1,1,59,2,2.8,No,North,0
CUST-00083,15,Basic,28.46,412.97,One year,Credit card,2,1,34,2,2,No,South,1
CUST-00084,2,Basic,37.47,77.15,Two year,Mailed check,2,3,27,1,2.4,No,East,0
CUST-00085,15,Standard,84.09,1219.28,One year,Bank transfer,2,0,31,1,2.8,Yes,North,0
CUST-00086,20,Standard,57.89,1171.68,Two year,Credit card,6,3,46,0,1.9,Yes,North,1
CUST-00087,21,Premium,81.18,1615.2,Month-to-month,Credit card,1,2,35,1,4,No,East,1
